,title,icon_prize,average_price,users_rate,number_reviews,street,address_formatted,lat,lon
9001,Messie Sin Gluten,,€8 - €20,4.5,,Carrer de Muntaner 109,"Carrer de Muntaner, 109, 08036 Barcelona, Spain",41.3892078,2.1556052
9002,Bosc de les Fades,,,4.0,,Pasaje de la banca nr 7,"Catalonia, Spain",41.66667,2.0
9003,Enigma Concept,,Dinner,4.5,,"Sepulveda, 38","Enigma, Carrer de Sepúlveda, 38-40, 8015 Barcelona, Spain",41.3766923,2.154109
9004,Kibuka,,,4.0,,"9, Goya Street","Teatre Goya, Carrer de Torres i Amat, 2, 08011 Barcelona, Spain",41.384087,2.164267
9005,Can Majo,,,4.0,,Almirall Aixada 23,"Pg Joan de Borbó - Almirall Aixada, Passeig de Joan de Borbó, 72 Barcelona, Spain",41.3775692,2.1881898
9006,La Vespa Burger Bar,,€10 - €20,4.0,,"Torrent de l""Olla 99","Torrent de l'Olla, Carrer del Torrent de l'Olla, 221, 08012 Barcelona, Spain",41.4066828,2.1518689
9007,Cal Pep,,€28 - €37,4.0,,Placa De Les Olles 8,"Plaça de les Olles, Barcelona, Spain",41.3837473,2.1832402
9008,Greco's of Brooklyn,,€8 - €20,4.5,,Calle Mallorca 308,"Carrer Mallorca, 08110 Montcada i Reixac, Spain",41.4936096,2.1863173
9009,Taperia Ordesa,,,4.0,,"Gran Via de les Corts Catalanes, 522","Gran Via de les Corts Catalanes, 08018 Barcelona, Spain",41.4101378,2.1957677
9010,Coure,,€54 - €75,4.0,,Passatge Marimon 20,"Passatge de Marimon, 20, 08021 Barcelona, Spain",41.3943374,2.1478356
9011,El Mercat,,,4.0,,"Bruc, 31","el Bruc, Catalonia, Spain",41.5792357,1.7812982
9012,Gustos Bcn Arenas,,€11 - €22,4.0,,Centro Comercial ARENAS,"Catalonia, Spain",41.66667,2.0
9013,La Pedreta,,€10 - €30,4.0,,"Carrer De La Marina, 271","Carrer de la Marina, 08013 Barcelona, Spain",41.3999533,2.1801436
9014,Kook,,€20 - €30,4.5,,Passeig Sant Joan 85,"passeig del Riu, 08250 Sant Joan de Vilatorrada, Spain",41.7399116,1.8066353
9015,Distributrice Healthy Food Concept,,€6 - €14,4.5,,"C/ Comte D_Urgell, 130","Comte d'Urgell, Gran Via de les Corts Catalanes, 08015 Barcelona, Spain",41.3820143,2.1582348
9016,Bar Sant Pere,,,4.5,,"Carrer De Sant Pere Mes Alt, 28","Bär Sant Pere, Carrer de Sant Pere Més Alt, 28, 08003 Barcelona, Spain",41.3880755,2.1763052
9017,Els Pinxus Barra de tapes,,"Spanish, Mediterranean, Catalan",4.5,,Compte Urgell 241,"Urgell, Catalonia, Spain",41.38244,2.15901
9018,Bodega la Puntual,,,4.0,,"Carrer Montcada, 22","Carrer Montcada, 08402 Granollers, Spain",41.6190114,2.2927717
9019,Senyor Vermut,,"Bar, Mediterranean, European, Spanish, Catalan",4.5,,"Provenca, 85","Provença, Intercanviador Diagonal - Provença (L3 - L5 - FGC, 080007 Barcelona, Spain",41.3932454,2.1575069
9020,Habana Vieja Restaurant Cubano,,"Caribbean, Latin, Cuban, Central American",4.5,,"Banys Vells, 2","Carrer dels Banys Vells, CP 08003 Barcelona, Spain",41.3842781,2.181061
9021,Tatin Bistro,,"Latin, Cafe, Argentinean, South American",5.0,,Napols 314,"La Caníbal, Carrer de Nàpols, 314, 08037 BCN Barcelona, Spain",41.4041671,2.1680604
9022,Casa Jordi,,"Mediterranean, European, Spanish, Catalan",4.5,,"Passatge Marimon, 18","Passatge de Marimon, 18, 08021 Barcelona, Spain",41.3944599,2.1476712
9023,Bicioci Bike Cafe',,"Cafe, Pizza, European",4.5,,Calle Venus 1-3 08012 Barcelona,"Carrer Venus, 08930 Sant Adrià de Besòs, Spain",41.4189119,2.2190568
9024,Nomo Galvany,,€28 - €46,4.0,,"Madrazo, 135","Kuo, Carrer dels Madrazo, 135, 08006 Barcelona, Spain",41.3965669,2.1442347
9025,MEXCLA Tapas y Cocteleria Mexicana,,€12 - €36,4.0,,Carrer de Ramon y Cajal 35,"Carrer de Ramon y Cajal, 08812 Sant Pere de Ribes, Spain",41.2262275,1.7491603
9026,Canta Y No Llores,,€12 - €30,4.5,,Calle Princesa 53,"Carrer Princesa, 08571 Sant Vicenç de Torelló, Spain",42.0577009,2.2615986
9027,Restaurant BarcelonaMilano,,"Italian, Mediterranean, European, Spanish, Catalan",4.0,,Villarroel 190,"La Villarroel, Carrer de Villarroel, 87, 08011 Barcelona, Spain",41.3845152,2.1573507
9028,Asador de Aranda,,,4.0,,"Avenida Del Tibidabo, 31","Asador de Aranda, Avinguda del Tibidabo, 31, 08022 Barcelona, Spain",41.4132968,2.1343348
9029,Restaurante L'hortet,,"Mediterranean, European, Spanish",4.5,,"Pintor Fortuny, 32","L'Hortet, Carrer del Pintor Fortuny, 32, 08001 Barcelona, Spain",41.3824236,2.1687015
9030,L'Angolino,,€10 - €30,4.5,,"Carrer de Blai, 15","Carrer de Blai, 08015 Barcelona, Spain",41.3742094,2.1631007
9031,Restaurante Taktika Berri,,,4.0,,"Valencia, 169","Valencia, Carrer de València, 08291 Ripollet, Spain",41.4943576,2.1695649
9032,Bruc33Tapas,,€12 - €36,4.0,,"calle Bruc, 33","Carrer Bruc, 08600 Berga, Spain",42.0969144,1.8390387
9033,Raco de Bonsucces,,€8 - €20,4.5,,Bonsucces 6,"Zenzoo, Carrer del Bonsuccés, 6, 08001 Barcelona, Spain",41.3842479,2.169911
9034,Restaurante Xix Kebab,,€15 - €25,4.5,,"Corsega, 193","Còrsega, 08192 Sant Quirze del Vallès, Spain",41.5294463,2.0700326
9035,Madame,,€10 - €20,4.5,,"Robador, 22","El Magraner Boig, Carrer d'en Robador, 22, 08001 Barcelona, Spain",41.3792938,2.1708328
9036,La Cachapera Bcn,,"Venezuelan, Latin",4.5,,Carrer Villaroel 57,"Carrer de Villaroel, 08490 Tordera, Spain",41.7157918,2.6873912
9037,Zarautz Taberna Vasca,,€25 - €60,4.5,,"C/ Elisi, 13","Carrer de Tarragona, Elisi, 8015 Barcelona, Spain",41.3786085,2.1447693
9038,Robadora,,"Mediterranean, European, Spanish",4.5,,"Carrer del Marques de Campo Sagrado, 27","Ruta del Bacallà, Carrer del Marquès de Campo Sagrado, 27, 08001 Barcelona, Spain",41.3766262,2.1648204
9039,Taverna El Glop,,,4.0,,C/ Sant Lluis 24,"08389 Palafolls, Spain",41.6608679,2.7498916
9040,Aitor Restaurant,,"Mediterranean, European, Spanish, Catalan",4.0,,"Sardenya, 324","Sardenya, Carrer de Sardenya, 08088 Barcelona, Spain",41.4036868,2.1730622
9041,Xemei,,€30 - €37,4.0,,Paseo De La Exposicion 85,"Catalonia, Spain",41.66667,2.0
9042,Anardi,,€15 - €25,4.5,,"Carrer del Parlament, 48","Wino, Carrer del Parlament, 48, 08001 Barcelona, Spain",41.3771929,2.1637795
9043,Takumi,,"Japanese, Asian",4.5,,Carrer de Balmes 59,"Takumi, Carrer de Balmes, 59, 080007 Barcelona, Spain",41.3894319,2.1615678
9044,El Boliche del Gordo Cabrera,,€29 - €36,4.0,,"Consell de Cent, 338","Consell de Cent, Carrer del Consell de Cent, 8015 Barcelona, Spain",41.3754015,2.143262
9045,El Rebost d'Hostafrancs,,"Mediterranean, Spanish, Catalan",4.5,,"Bejar, 33","Carrer de Béjar, 08014 Barcelona, Spain",41.3774528,2.1450484
9046,Restaurant Sao BCN,,€23 - €50,4.5,,Cesare Cantu 2,"Carrer de Cesare Cantù, 08023 Barcelona, Spain",41.4168944,2.1397153
9047,Taquerias Tamarindo,,€6 - €20,4.0,,Carrer de Arago 236,"Catalonia, Spain",41.66667,2.0
9048,Las Brasas del tio Manolo,,"Barbecue, Spanish, Steakhouse, Bar, Grill, Pub",4.5,,"Carrer de Venecuela, 59","Las Brasas del Tío Manolo, Carrer de Veneçuela, 59, 08019 Barcelona, Spain",41.410556,2.2078314
9049,Ultramarinos,,,4.0,,"Rambla dels Caputxins, 31","La Rambla, Rambla del Carme, 08500 Vic, Spain",41.9312616,2.2550572
9050,Sense Pressa,,"Mediterranean, European, Spanish, Catalan",4.5,,"Carrer d' Enric Granados, 96","Carrer d' Enric Granados, 08440 Cardedeu, Spain",41.6321584,2.3637128
9051,L'Olive,,€37 - €51,4.0,,Balmes 47,"Restaurant L'Olive, Carrer de Balmes, 47, 08007 Barcelona, Spain",41.3891211,2.1626452
9052,Candelecho Charcoal Grill,,€6 - €41,5.0,,Calle Bailen 127,"Carrer Bailen, 08402 la Roca del Vallès, Spain",41.6030546,2.3012683
9053,Mediamanga,,€20 - €60,4.5,,"Aribau, 13","Aribau, 08204 Sabadell, Spain",41.5283818,2.1105725
9054,Made in Sicily,,"Italian, Pizza, Fast Food",4.5,,"Carrer Dels Escudellers, 35","Carrer dels Escudellers, 80002 Barcelona, Spain",41.3799218,2.1766799
9055,La Bombeta,,,4.0,,"Maquinista, 3","La Maquinista, Carrer de Sao Paulo, 08030 Barcelona, Spain",41.4408218,2.1982884
9056,La Esquinita de Blai,,€3 - €30,4.0,,"Calle Blai, 16","Blai, Carrer de Blai, 08015 Barcelona, Spain",41.3742769,2.1630491
9057,Cu-Cut,,,4.5,,Calle Enric Granados 68,"Carrer Enric Granados, 08130 Santa Perpètua de Mogoda, Spain",41.5362243,2.1807936
9058,Las Fernandez,,"Mediterranean, Spanish",4.5,,"Carretas, 11","Catalonia, Spain",41.66667,2.0
9059,Elisabets,,,4.0,,Elisabets 2-4,"Elisabets, Carrer d'Elisabets, 08001 Barcelona, Spain",41.3837777,2.169189
9060,Taverna hofmann,,€30 - €50,4.5,,"C/ Girona, 145","Girona, Catalonia Square, Barcelona, Spain",41.3870006,2.169377
9061,A Pluma Santalo,,€15 - €25,4.5,,"Carrer De Santalo, 39","Carrer de Santaló, 08021 Barcelona, Spain",41.396429,2.1447797
9062,Restaurante Vivanda,,"Mediterranean, European, Spanish, Catalan",4.0,,"Major de Sarria, 134","Carrer Major de Can Caralleu, 08017 Barcelona, Spain",41.4020258,2.1116018
9063,Tierra del Fuego,,"Argentinean, Barbecue",4.5,,Carrer Venero 18,"carrer de Venero, 08005 Barcelona, Spain",41.4019843,2.2011537
9064,Restaurante el Porvenir,,"Seafood, Mediterranean, Spanish",4.5,,"Calle Villarroel , Restaurante el Porvenir 46","Catalonia, Spain",41.66667,2.0
9065,Barcelona Beer Company Restaurant & Taproom,,,4.5,,"Muntaner, 7","el Muntaner, Sobremunt, Catalonia, Spain",42.0316824,2.1622
9066,SINGULAR,,,4.0,,Sardenya,"Sardenya, Carrer de Sardenya, 08088 Barcelona, Spain",41.4036868,2.1730622
9067,La Esquina,,€5 - €35,4.0,,"Calle Bergara, 2","Hotel Catalonia Plaça Catalunya, Carrer de Bergara, 08007 Barcelona, Spain",41.3863262,2.1681968
9068,Pappapomodoro,,€20 - €50,4.5,,"Carrer de Josep Pla, 19","Carrer de Josep Pla, Trattoria&Pizzeria Pappapomodoro, 19, 08019 Barcelona, Spain",41.4082807,2.216443
9069,Restaurante Cal Boter,,,4.0,,"Tordera, 62","Tordera, Catalonia, Spain",41.6977173,2.7172987
9070,Te Quiero Verde,,€5 - €12,5.0,,Rossello 235,"Eix Cèntric, Carrer del Rosselló, 235, 08008 Barcelona, Spain",41.3940946,2.1581889
9071,Cecconi's Barcelona,,,4.5,,Passeig de Colom 20,"Cecconi's, Passeig de Colom, 20, 08002 Barcelona, Spain",41.3784472,2.1794958
9072,O Meu Lar,,€33 - €47,4.5,,"c/ Margarit,24","08461 Campins, Spain",41.7371794,2.4630237
9073,Parking Pizza,,"Italian, Pizza, Mediterranean, European",4.5,,"Calle Londres, 98","Carrer Londres, 08400 Granollers, Spain",41.5965593,2.2792652
9074,Koku Kitchen Buns/Ramen & Gyoza Bar,,"Japanese, Asian, Soups",4.5,,Carrer del Comerc 29,"Carrer del Comerç, 29, 08380 Malgrat de Mar, Spain",41.6420339,2.7393794
9075,Mon Viet,,€20 - €25,4.5,,Sepulveda 94,"Carrer de Sepúlveda, 8015 Barcelona, Spain",41.3752018,2.1518737
9076,Casa Delfin,,,4.0,,"Passeig del Born, 36","Passeig del Born, Barcelona, Spain",41.384793,2.1828281
9077,Big Al's American Kitchen,,€10 - €25,4.5,,Corsega 178,"Còrsega, 08192 Sant Quirze del Vallès, Spain",41.5294463,2.0700326
9078,La Plassohla,,,4.5,,"Via Laietana, 49","Restaurant La Plassohla, Via Laietana, 49, 08010 Barcelona, Spain",41.3869749,2.1742731
9079,FAN Shoronpo Japones Ramen,,€8 - €40,4.5,,"C/Seneca, 28","Seneca, Carrer de Padilla, 08013 Barcelona, Spain",41.4003824,2.1841121
9080,Gigi von tapas,,€20 - €30,4.5,,"Carrer de la Marina, 189","Carrer de la Marina, 189, 08013 Barcelona, Spain",41.4001459,2.1794646
9081,Blai Tonight,,"Bar, Mediterranean, Spanish, European",4.5,,Calle Blai 23-25,"Blai, Carrer de Blai, 08015 Barcelona, Spain",41.3742769,2.1630491
9082,El Chigre 1769,,,4.5,,"Carrer dels Sombrerers, 7","Carrer dels Sombrerers, CP 08003 Barcelona, Spain",41.3838554,2.181792
9083,Croq & Roll,,"Mediterranean, European, Spanish, Catalan",4.5,,"Travessera de Gracia, 233","Travessera de Gràcia, 233, 08012 Barcelona, Spain",41.4037944,2.1615932
9084,Pincho J,,Spanish,4.5,,"Carrer Blai, 26","Blai, Carrer de Blai, 08015 Barcelona, Spain",41.3742769,2.1630491
9085,Teleferic,,,4.5,,Placa Dr Letamendi 27,"Catalonia, Spain",41.66667,2.0
9086,Can Xurrades Gastronomic,,"Steakhouse, Mediterranean, European, Spanish",4.5,,C/ Casanova 212,"Avinyó, Catalonia, Spain",41.8799485,1.9562008
9087,Sports Bar Italian Food - C. Ample,,€7 - €100,4.5,,"Carrer Ample, 51","Sports bar, Carrer Ample, 51, 08002 Barcelona, Spain",41.3812687,2.1804979
9088,Melo-Jia,,€15 - €30,4.5,,Calle Corsega 250,"Còrsega, 08192 Sant Quirze del Vallès, Spain",41.5294463,2.0700326
9089,Windsor,,,4.5,,Corsega 286,"Còrsega, 08192 Sant Quirze del Vallès, Spain",41.5294463,2.0700326
9090,Las Sorrentinas,,"Italian, European, Mediterranean",4.5,,"Pl. Sant Pere, 5","Viver i Serrateix, Catalonia, Spain",41.9268784,1.8078368
9091,Italian District,,€15 - €30,4.5,,"Carrer de Llull, 169","Italian District, Carrer de Llull, 169, 08005 Barcelona, Spain",41.4004111,2.2012133
9092,Bar Restaurante La Llesca,,,4.5,,Avda Gaudi 12,"Avinguda d'en Gaudí, Mediona, Spain",41.4770176,1.6091548
9093,Nass Restaurant,,"Mediterranean, European, Spanish",4.5,,"Judici, 5","Nass Restaurant, Carrer del Judici, 5, 08003 Barcelona, Spain",41.3765661,2.1894837
9094,Robata,,,4.5,,Enric Granados 55.,"Av. Rius i Taulet, Enric Granados, Avinguda de Rius i Taulet, 08172 Sant Cugat del Vallès, Spain",41.4720436,2.0814069
9095,N.A.P. Neapolitan Authentic Pizza,,€4 - €11,4.0,,"Carrer de Gombau, 5","Carrer de Gombau, Barcelona, Spain",41.3872424,2.1793801
9096,Sabes una cosa,,€3 - €12,4.5,,Calle Tordera 52,"Carrer Tordera, 08360 Canet de Mar, Spain",41.5917792,2.57999
9097,Set de Born,,€10 - €30,4.5,,C/ Esparteria 7,"Catalonia, Spain",41.66667,2.0
9098,Cerveceria Catalana,,"European, Spanish, Catalan, Mediterranean",4.5,,"Carrer de Mallorca, 236","Cervecería Catalana, Carrer de Mallorca, 236, 08008 Barcelona, Spain",41.3924032,2.1609008
9099,Mes de Vi,,,4.5,,Maria Aguilo 123,"Aguiló, Bagà, Catalonia, Spain",42.2862744,1.7168283
9100,Dans Le Noir,,€38 - €65,4.5,,"Passeig de Picasso, 10","Passeig de Picasso, 08003 Barcelona, Spain",41.3881169,2.1824079
9101,Flax & Kale Passage,,"Healthy, Mediterranean, European",4.5,,Carrer De Sant Pere Mes Alt 31-33,"Carrer de Sant Pere Més Alt, 08003 Barcelona, Spain",41.3893543,2.1785882
9102,Lo Pinyol,,,4.5,,"Torrent de l'Olla, 7","Torrent de l'Olla, Carrer del Torrent de l'Olla, 221, 08012 Barcelona, Spain",41.4066828,2.1518689
9103,Aula Restaurant - CETT,,€20 - €30,4.5,,Avinguda Can Marcet 36,"Can Marcet, Catalonia, Spain",41.5127005,1.8264169
9104,Tlaxcal,,€15 - €25,4.5,,Comercio 27,"Catalonia, Spain",41.66667,2.0
9105,Can Mano,,,4.5,,"Calle del Baluard, 12","Can Maño, Carrer del Baluard, 12, 08 Barcelona, Spain",41.3811461,2.1884306
9106,Rasoterra,,,4.5,,"Carrer Palau, 5","Carrer d'en Palau, 08301 Mataró, Spain",41.5398808,2.4455592
9107,Espai Gastronomic Juan Carlos Navarro,,€8 - €25,5.0,,"Carrer Sardenya 506, botiga 2","Catalonia, Spain",41.66667,2.0
9108,Fismuler,,,4.5,,Carrer Del Rec Comtal 17,"Fismuler, Carrer del Rec Comtal, 17, 08003 Barcelona, Spain",41.3901336,2.1799602
9109,Pappa e Citti,,,4.5,,C/ Encarnacio 38,"Catalonia, Spain",41.66667,2.0
9110,Bar Bodega Quimet,,"Mediterranean, Spanish, Wine Bar, Catalan",4.5,,"Calle de Vic, 23","Carrer de Vic, 23, 08006 Barcelona, Spain",41.399159,2.1547102
9111,Fan Dim Sum,,€14 - €30,4.5,,"Laforja, 128","Carrer de Laforja, 08006 Barcelona, Spain",41.4003898,2.151314
9112,WAGOKORO Cocina japonesa,,€17 - €57,4.5,,"Regas, 35","El Regás, Carrer de Regàs, 10-12, 08006 Barcelona, Spain",41.3986902,2.1521271
9113,Mamma Italia,,,4.5,,"C. Comte de Guell, 56","Catalonia, Spain",41.66667,2.0
9114,La Riera,,"Mediterranean, European, Spanish",4.5,,15 Carrer del Regent Mendieta,"La Riera, Carrer del Regent Mendieta, 15, 08028 Barcelona, Spain",41.3770477,2.1226068
9115,Alkimia,,,4.5,,"Ronda Sant Antoni, 41","Ronda Sant Antoni, Ronda de Sant Antoni, 080007 Barcelona, Spain",41.3847746,2.1638203
9116,La Vinateria del Call,,,4.5,,"Sant Domenec del Call, 9","Catalonia, Spain",41.66667,2.0
9117,El Rincon Restaurant,,,4.5,,"Carrer del Carme, 28","Carrer del Carme, 28, 08380 Malgrat de Mar, Spain",41.6457837,2.7413798
9118,BRO Room,,€8 - €16,4.5,,"Corsega, 562","Còrsega, 08192 Sant Quirze del Vallès, Spain",41.5294463,2.0700326
9119,GreenVita Healthy Kitchen,,,4.5,,"Av. Diagonal, 3","Foster’s Hollywood, Avinguda Diagonal, 3, 08021 Barcelona, Spain",41.3921,2.14477
9120,Cascayo,,€8 - €15,4.5,,"Carrer del Rossello, 152","Carrer del Rosselló, 152, 08036 Barcelona, Spain",41.3910405,2.1547953
9121,Chill Bar Barcelona,,€7 - €13,4.5,,Calle Provenca 424,"Carrer Provença, 08770 Sant Sadurní d'Anoia, Spain",41.4244026,1.7845184
9122,Restaurant Aji,,€22 - €60,4.5,,"C/Marina, 19-21","08729 Castellet i la Gornal, Spain",41.25977,1.6430355
9123,Bristol . Gastropub,,,4.5,,"Roger de Flor, 220","Roger de Flor, Carrer de Ribes, 08003 Barcelona, Spain",41.3925973,2.1813754
9124,Anauco,,,4.5,,Valencia 428,"Valencia, Carrer de València, 08291 Ripollet, Spain",41.4943576,2.1695649
9125,Colom,,,4.0,,"Rambla Del Poblenou, 56","Rambla del Poblenou, Barcelona, Spain",41.4070751,2.1933213
9126,La Gormanda,,"Mediterranean, European, Spanish",4.5,,C/Aribau 160,"Aribau, 08204 Sabadell, Spain",41.5283818,2.1105725
9127,El 9 Porro,,€15 - €50,4.5,,"Carrer del Doctor Trueta, 225","Carrer del Doctor Trueta, la Llacuna, Spain",41.472714,1.5319953
9128,TAiTU,,€12 - €23,5.0,,"Nou de la Rambla, 149","Nou de la Rambla, Avinguda del Paral·lel, 08001 Barcelona, Spain",41.3750759,2.1702821
9129,Cachaca Restaurante,,"Italian, Mediterranean, European, Tuscan, Central-Italian",4.5,,"calle Ataulf, 5","Catalonia, Spain",41.66667,2.0
9130,Restaurante La Boqueria,,,4.5,,Carrer de la Boqueria Numero 17,"Carrer de la Boqueria, 80002 Barcelona, Spain",41.381585,2.1745904
9131,Restaurante Sesamo,,,4.5,,"Sant Antoni Abat, 52","Sant Antoni Abat, Carretera de Sant Joan de Mediona, la Llacuna, Spain",41.486034,1.5477034
9132,La Desayuneria,,€8 - €20,4.0,,Comte Borrell 75,"La desayunería, Carrer del Comte Borrell, 75, 08015 Barcelona, Spain",41.3783287,2.1611692
9133,L'Escola,,€40 - €66,4.5,,Passeig Taulat 243,"Passeig del Taulat, 08019 Barcelona, Spain",41.4028551,2.210466
9134,Mirabe,,,4.5,,c/ Manuel Arnus 2,"Carrer de Manuel Arnús, 08022 Barcelona, Spain",41.4176345,2.13003
9135,Garage Beer Co,,€7 - €10,4.5,,"Carrer De Consell De Cent, 261","carrer de Consell de Cent, 08170 Montornès del Vallès, Spain",41.5393725,2.2716073
9136,Kiosko Universal,,,4.5,,Mercat de La Boqueria,"Mercat de Sant Josep - La Boqueria, La Rambla, 91, 08001 Barcelona, Spain",41.3817359,2.1715515
9137,Restaurante Goliard,,€15 - €35,4.5,,Carrer Del Progres 6,"Goliard, Carrer del Progrés, 6, 08008 Barcelona, Spain",41.3999812,2.1604954
9138,murivecchi,,€14 - €27,4.5,,C/ Princesa 59,"Murivecci, Carrer de la Princesa, 59, 08003 Barcelona, Spain",41.3874075,2.1828282
9139,Little Bacoa,,€5 - €12,4.5,,"Calle Colomines, 2","Carrer de la Volta d'en Colomines, CP 08003 Barcelona, Spain",41.3845363,2.1791545
9140,EL PINTXO DE PETRITXOL,,,4.5,,"Carrer de Petritxol, 9","El Pintxo de Petritxol, Carrer de Petritxol, 9, 08001 Barcelona, Spain",41.3828156,2.1729085
9141,Belmonte,,"Mediterranean, European, Spanish",4.5,,De la merce 29,"Bó de B, Carrer de la Fusteria, 14-16, 08002 Barcelona, Spain",41.3811978,2.1810992
9142,Artisa,,€4 - €15,4.5,,"Carrer de Colom, 2","Carrer de Colom, 80002 Barcelona, Spain",41.3796953,2.1747382
9143,El Mamon,,€28 - €45,4.5,,"Passatge de Pere Calders, 2","Passatge de Pere Calders, 08213 Polinyà, Spain",41.5519682,2.156379
9144,Blai 9,,"Mediterranean, Spanish, Catalan, European",4.5,,"Blai , 9        Carrer de Blai , 9 Poble Sec,  08004 Barcelona","08004, Spain",41.3888,2.159
9145,Inka Burg,,,4.5,,Av. Republica Argentina 17,"Avinguda República Argentina, 08860 Castelldefels, Spain",41.2658338,1.9573076
9146,La Real Hamburgueseria,,€9 - €13,4.5,,Carrer de Valencia 285,"Hamburgueseria la Real, Carrer de València, 285, 08009 Barcelona, Spain",41.3952399,2.1665275
9147,Restaurante Bouquet Hotel Hesperia Tower,,,4.5,,"Gran Via de L'Hospitalet, 144","Gran Via, 08908 l'Hospitalet de Llobregat, Spain",41.3636328,2.1338805
9148,Tickets,,,4.5,,Avinguda Paral.lel 164,"Catalonia, Spain",41.66667,2.0
9149,Pasa Tapas,,,4.5,,"Carrer del Doctor Aiguader, 6","Restaurante Pasa Tapas, Carrer del Doctor Aiguader, 6-8, 08003 Barcelona, Spain",41.382275,2.1871782
9150,Restaurante Macondo,,€20 - €35,4.5,,Carrer Corsega 206,"Còrsega, 08192 Sant Quirze del Vallès, Spain",41.5294463,2.0700326
9151,Babula Bar 1937,,€15 - €40,5.0,,Calle Pau Claris 139,"Carrer Pau Claris, 08505 Vic, Spain",41.9137074,2.2301625
9152,Santa Gula,,,4.5,,"Plaza Narcis Oller, 3","Carrer de Narcis Oller, 08104 Lliçà d'Amunt, Spain",41.5914149,2.2097247
9153,Rincon Persa,,"Middle Eastern, Persian",4.5,,"Floridablanca, 85","Floridablanca, carrer de Floridablanca, 08914 Badalona, Spain",41.4408541,2.2255462
9154,Karakala,,€10 - €35,4.5,,"Torrent de L' Olla, 136","Catalonia, Spain",41.66667,2.0
9155,NBA Cafe Barcelona,,,4.5,,La Rambla 120,"Tavertet, Catalonia, Spain",42.0135355,2.425772
9156,LeccaBaffi,,,4.5,,Carrer Valencia 341,"Carrer Valencia, 08770 Sant Sadurní d'Anoia, Spain",41.4281682,1.7826155
9157,Archimissa Gastrobar,,€10 - €20,5.0,,Calle Vallhonrat 19,"Carrer de Vallhonrat, 8015 Barcelona, Spain",41.3739796,2.156947
9158,PerBacco!,,€10 - €20,4.5,,Avda. Diagonal 339,"PerBacco!, Avinguda Diagonal, 339, 08037 Barcelona, Spain",41.3983154,2.1676249
9159,La Higuera,,"Mediterranean, Spanish",4.5,,C/ Sicilia 101,"Sicília, Rambla del Fondo, 08922 Santa Coloma de Gramenet, Spain",41.4514955,2.2174059
9160,B Burger,,€11 - €23,4.5,,"Carrer d'Arago, 36","Carrer d'Aragó, 36, 8015 Barcelona, Spain",41.3808638,2.1501657
9161,La Pimpa Pizzeria,,€10 - €20,4.5,,Carrer Europa 24,"Carrer Europa, 08784 Piera, Spain",41.5250377,1.7533454
9162,Chivuo's Gracia Slow Street Food & Craft Beer,,€7 - €15,4.5,,"Carrer del Torrent de l'Olla, 175","Carrer del Torrent de l'Olla, 175, 08012 Barcelona, Spain",41.4050105,2.1539366
